評論,評分,發布時間
"歡樂的氣氛，無限暢飲，雞尾酒的品質不是最好的……但如果你想和朋友一起喝酒，喝不同種類的雞尾酒，這裡是個好地方。但他們經常要求你移動座位...
這裡提供無限量的雞尾酒，但品質不高，是與朋友一起享受熱鬧氣氛的長時間停留的好地方。零食也不錯。我懂一點英文。",3,8 年前
！對任何外國遊客或旅行者的警告！ ！我在這裡關注了谷歌評論，他們得到了近 4000 條 5 星級評論，這完全是一個騙局和欺詐，他們甚至不知道如何製作單一雞尾酒。第一杯之後就再也受不了了，也許對於窮學生或現金不多的小學生來說這還可以，但我寧願花同樣的錢去拐角處的酒吧，喝到 200% 更好的飲料。,1,4 年前
"相當貴...而且酒吧老闆希望你給好評才能獲得學生折扣。
調酒師還好。",2,1 年前
好喝,5,10 個月前
超棒的啦！真的物超所值,5,3 年前
必須誠實地對待這個地方——一分錢一分貨。 430台幣可以暢飲，不知道喝什麼酒。有問題的評論。如果你同意的話，這就是你會去的地方！,2,7 年前
喝酒和吃普通酒吧食物的好地方。我不喜歡酒吧的煙味和他們奇怪的規則。我會回來但可能不會。,3,7 年前
他們的雞尾酒根本沒有酒精。如果你想喝酒就不要來。,1,1 年前
不錯的地方~很好的體驗~下次還會再來~,5,2 年前
不錯的黑暗當地酒吧。有點潮濕的霉味。漂亮的飛鏢區和沙發區。很棒的飲料選擇。,3,5 年前
超級好喝。一定再來💯👍 …,5,2 年前
這是一個超級便宜的地方。唯一好的就是無限暢飲 650ntd,1,7 年前
好地方！,5,2 年前
超級好人！就來喝吧！我們是來自香港的妹子！強烈推薦這個地方給你！,5,9 年前
喝到飽雖然感覺很划算 但實際上酒精含量真的…所以覺得普普通通,3,7 年前
伊森是個很酷的傢伙。我一段時間以來去過的最好的休息室,5,7 年前
鮑比和主人很友好而且健談。  也讓我在這裡度過了愉快的時光。  👍 …,5,6 年前
Bobby服務很好，很友善很友善~不錯的體驗！,5,6 年前
態度很差，飲料的酒精含量很低，不值得參觀。,1,1 年前
周圍都是年輕人，可以喝的都很好，但是飲料裡的酒精含量不多,3,7 年前
,5,2 年前
酒真的很便宜，人們在這裡抽煙。如果你受不了這個味道就不要來,3,7 年前
"喝酒聊天好地方
奶酒好好喝👍👍👍 …",5,6 年前
"工作人員很友善~~ Eason是最棒的！
如果有時間應該每週都來這裡~~~",5,7 年前
定位女生十點前99元！,5,6 年前
學生來電定位折一百,5,5 年前
尊爵版CP值高 大推,5,3 年前
隨便喝，但是伏特加的味道太奇怪了…,2,7 年前
真是個笑話，每條評論都只說“好”,1,5 年前
尊爵版，CP值特高，棒！,5,4 年前
尊爵版~划算 好喝,5,3 年前
尊爵版推到靠北,5,3 年前
環境雅緻，服務人員親切,5,6 年前
Cp值很高，酒好喝,5,4 年前
我認為對於喜歡喝酒的人來說這將是一個好地方。,5,6 年前
尊爵版cp值高,5,4 年前
浩子人超棒！酒超好喝,5,7 年前
Cp值高 酒好喝,5,3 年前
好喝！尊爵推,5,2 年前
ㄌㄞㄏㄜˉㄧㄒㄧㄚ,5,5 年前
尊爵版cp值高高在！,5,3 年前
Bartender很nice，甜系的酒很多。,5,7 年前
我喜歡q9飲料，很好喝,5,4 年前
女生10點前99元暢飲,5,6 年前
美麗的咖啡館，真的很舒適，尤其是經理很棒！,5,8 年前
🤙🏾🤙🏾🤙🏾學生訂位折100 …,5,5 年前
CP值高，非常棒,5,4 年前
好喝<3 好玩<3 大推<3,5,5 年前
小豪是傻瓜 人很好,5,5 年前
環境不錯，價格可以接受。,5,4 年前
學生訪問率100%,5,4 年前
CP值很高,5,3 年前
"尊爵版
很爽",5,3 年前
好地方,5,1 年前
飲料很美味，氣氛很好。,5,5 年前
很棒的氛圍和有趣的員工。,5,6 年前
學生優惠折100,5,5 年前
超好喝,5,1 年前
放鬆聊天的好地方:),5,8 年前
價格實惠！友善的！,5,8 年前
子淮 讚👍🏽 …,5,7 年前
新奇！ 好吃 ！ 好玩 ！,5,6 年前
Cp值高，又好玩👍🏻👍🏻👍🏻👍🏻 …,5,4 年前
390喝到爽,5,5 年前
",CP直非常高",5,6 年前
好喝一直喝，一直喝一直爽👍 …,5,3 年前
Cp值超高❤️,5,4 年前
非常好又舒服！,5,5 年前
Cp值很高,5,4 年前
子淮招待超棒！,5,7 年前
不錯的酒吧,5,6 年前
不錯的酒吧,5,5 年前
Cp值很高,5,5 年前
友善的員工和無限暢飲,5,7 年前
很棒,5,4 年前
好酒吧！,5,5 年前
聚會的好地方。,5,6 年前
Cp值ok,5,3 年前
我去過的最好的酒吧！,5,8 年前
陳奕迅贊👍 …,5,7 年前
很棒！超值的！,5,5 年前
推推推的酒吧～👍 …,5,3 年前
好吃～好喝～,5,7 年前
讚 工作人員的友善,5,6 年前
很棒,5,5 年前
不錯的酒吧,5,9 年前
,5,4 年前
超棒,5,5 年前
好喝,5,4 年前
我在這裡玩得開心,5,5 年前
好喝,5,5 年前
讚喔,5,6 年前
很棒,5,6 年前
很棒,5,5 年前
很棒,5,6 年前
很棒,5,5 年前
好喝又好吃,5,6 年前
爆米花好吃,5,7 年前
炸物好吃~~~~,5,8 年前
很棒,5,8 年前
好吃,5,8 年前
尊爵版舒服,5,4 年前
你要的都有！,5,5 年前
推唷,5,5 年前
阿哲,5,4 年前
很棒,5,7 年前
,5,6 年前
發冷,5,1 年前
很好很好,5,5 年前
好喝,5,8 年前
通風 音樂 不錯,5,5 年前
我很感激⁠•⁠ᴥ⁠•⁠ʔ⁠,5,1 年前
我不是精衛,5,8 年前
好喝一直喝,5,3 年前
CP值高,5,3 年前
CP值高,5,3 年前
喜歡就好,5,8 年前
很好很棒呱呱叫,5,8 年前
非常nice等地方,5,5 年前
很適合聊天,5,6 年前
好喝好玩好有趣 👍 …,5,6 年前
讚👍 …,5,6 年前
很棒的飲料和聚會,5,5 年前
哈哈哈哈哈哈,5,5 年前
❤️,5,5 年前
偉大的！,5,6 年前
好的！,5,4 年前
CP值高👍 …,5,3 年前
尼西,5,5 年前
點讚👍 …,5,4 年前
喜歡它,5,8 年前
ヾ(*´∀｀*)ﾉ,5,6 年前
好的！,5,9 年前
便宜好喝!,5,8 年前
！ ！ ！,5,5 年前
Cp值高,5,4 年前
Cp值高,5,5 年前
好的！,5,7 年前
耶,5,5 年前
好的,5,5 年前
好的！,5,6 年前
舒服,5,5 年前
好的,5,8 年前
👍🏻 …,5,6 年前
不錯的酒廊酒吧,5,7 年前
好的,5,5 年前
棒！,5,4 年前
好的,5,5 年前
好的,5,5 年前
涼爽的,5,5 年前
好的,5,5 年前
偉大的,5,5 年前
酒很好喝👍👍 …,5,4 年前
好的,5,5 年前
好的,5,5 年前
好的,5,5 年前
好地方❤️❤️❤️,5,5 年前
棒～,5,6 年前
👍👍 …,5,4 年前
好的,5,6 年前
好的,5,5 年前
好的,5,5 年前
偉大的,5,6 年前
推推,5,4 年前
好的,5,7 年前
好的,5,7 年前
好的,5,8 年前
好的,5,8 年前
好,5,8 年前
出色的,5,8 年前
好,4,8 年前
好的,5,8 年前
很棒的地方,5,5 年前
棒,5,8 年前
太棒了❤️❤️❤️❤️,5,4 年前
棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒,5,6 年前
