評論,評分,發布時間
"我的理解是，這在很大程度上是一個葡萄酒場所，而食物則不太重要。我們主要對食物感興趣，點了 6 道小吃。

讀過之前的評論後，我想說的是，失望是輕描淡寫的。麵包非常平庸，堅果不新鮮，濃湯有不尋常的背景味道，其餘的味道組合很差。

話雖如此，工作人員友好而細心，並盡力引導我們瀏覽菜單。裝飾很新鮮，潛力很大，但如果有更舒適的座位會受到歡迎。

我們是周五晚上訪問期間唯一的顧客。",2,2 年前
優雅的地方，靠近石牌地鐵站。食物和酒都很美味😋 …,5,2 年前
有Wine tasting $1500 for 4-5 glasses,4,1 個月前
非常舒適的地方。來台北必須參觀的地方。,5,2 年前
確實是品嚐葡萄酒和一些小吃的好地方。,5,1 年前
很棒的酒好地方！一定要來😌 …,5,3 年前
舒適的地方，提供高品質的葡萄酒和美麗的氛圍。我肯定會向我的朋友推薦這個地方，並將其保存為我在台北市最喜歡的地方之一。,5,2 年前
主要是西班牙葡萄酒，環境不錯，安靜的住宅區，晚上9點關門，兩位小姐姐的服務很熱情。,4,1 年前
前幾天我才注意到女服務生把起司排擺成心形❤️。她多麼可愛啊！祝大家情人節快樂！乾杯🥂 …,5,2 年前
大人的牛奶🥛好喝 …,5,1 年前
晚上 7:50 到達，被告知廚房已經關門了。希望他們在我預訂時告訴我。失望的。,3,8 個月前
愛這裡,5,1 個月前
😻😻,4,3 個月前
一流的環境和令人驚嘆的葡萄酒和食物選擇。謝謝你度過了一個美好的夜晚！,5,1 年前
這是一個下午放鬆的好地方，有很棒的葡萄酒選擇和非常專業的員工。,5,2 年前
好酒和好食物,5,1 年前
精緻、舒適、涼爽的地方,5,1 年前
這裡一切都很棒,5,1 個月前
,5,1 年前
一個非常寒冷的地方，有美味的葡萄酒和食物。,5,1 年前
很舒服的地方,4,1 年前
嘗試,3,1 個月前
好的,5,5 個月前
我在台灣喝過的最好的桑格利亞汽酒,5,2 年前
搭配牡蠣和生海鮮、白肉和烤魚！,5,2 年前
令人驚嘆的氣氛,5,1 年前
品嚐葡萄酒和空氣的好地方,5,1 年前
V 冷藏處,5,3 年前
白酒好喝，火腿好吃…,5,2 年前
很棒的氛圍和優質的葡萄酒！,5,1 年前
與朋友一起享受時光的好地方！,5,2 年前
,5,3 年前
,5,2 年前
,5,2 年前
美酒,5,1 年前
酒好喝 餐好吃,5,2 年前
好喝好美的地方,5,1 年前
喝酒的好地方！,5,1 年前
很棒的酒和服務。,5,2 年前
,4,2 年前
好吃,5,2 年前
一切都棒到融化自己了,5,1 年前
喜歡這裡的氣氛:),5,2 年前
超棒的地方～,5,2 年前
石牌人的小祕境,5,1 年前
我最喜歡的西班牙葡萄酒,5,2 年前
小河你 快啊🏃🏻‍♂️ …,5,1 年前
舒服的店☺️,5,1 年前
棒,5,1 年前
是的,5,2 年前
好吃😋 …,5,2 年前
很棒的共鳴,5,3 年前
好酒美女,5,3 年前
快啊快啊🥷🥷 …,5,1 年前
豪豪喝,5,2 年前
,5,2 週前
,5,1 個月前
,5,1 個月前
,5,2 個月前
,5,2 個月前
,4,2 個月前
,5,2 個月前
,5,3 個月前
,5,3 個月前
,5,3 個月前
,5,3 個月前
,5,6 個月前
,5,7 個月前
,5,7 個月前
,5,8 個月前
,5,8 個月前
,5,8 個月前
,5,8 個月前
,5,8 個月前
,5,8 個月前
,5,8 個月前
,5,9 個月前
,5,9 個月前
,4,9 個月前
,5,10 個月前
,5,11 個月前
,4,11 個月前
,5,11 個月前
,5,11 個月前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,4,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,4,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,2 年前
,5,2 年前
,5,2 年前
,5,2 年前
,5,2 年前
,5,2 年前
,5,2 年前
,5,2 年前
,5,2 年前
,5,2 年前
,5,2 年前
,5,2 年前
,4,2 年前
,5,2 年前
,5,2 年前
,5,2 年前
,5,2 年前
,5,2 年前
,5,2 年前
,5,3 年前
,5,3 年前
,5,3 年前
,5,3 年前
,5,3 年前
,5,3 年前
,5,3 年前
,4,3 年前
