評論,評分,發布時間
"白天跟晚上各來過一次
非常喜歡
座位沒限時
餐飲又便宜
重點是放的歌都好好聽
非常放鬆很推薦",5,2 年前
"☕️拿鐵𝑴 $𝟖𝟎

在信義區100元以內就可以喝到一杯份量不小的飲料 很適合逛街逛累來喝飲料聊天休息

Ig:@fumtm",5,1 年前
"信義區 超商價格..
顏值賞心悅目..
新鮮的愛情故事",3,8 個月前
只有2桌新客人在，食物等得有夠久20mins才上Pizza😀5分鐘之後才上薯條 薯條是現切現用的 又不熱？（等太久沒拍薯條哈哈 …,1,1 年前
"白天來喝咖啡才是正途
晚上擁擠",5,9 個月前
"白天沒有酒，買了飲料還好沒茶味，期待晚上調酒跟pizza,但蠻喜歡整個氛圍，喜歡這種美式小酒吧",4,2 年前
"半開放式的空間，咖啡價格便宜好喝
咖啡提供時間 早上8:00-下午6:00
6點之後賣調酒及Pizza，下次一定會再來試試看！",5,2 年前
Pizza 好吃 ， 酒調得也很不錯 ！ 氣氛佳，服務好 也會醉😂😂😂 …,5,1 年前
"在熱鬧地段的酒吧 ，有許多平價的調酒及一些精釀啤酒的選擇，以及comfort food ，例如披薩。

是一間待起來還算舒服，但是並不會特別有記憶點的店。啤酒跟披薩都還算中規中矩，深度肚子餓想喝一杯可以來，但是調酒可能就要慎選，我們點的那杯口味真的不是太好，不過這個價位可能也就無法要求太多。

整體客群偏年輕，應該是做附近喜歡跑夜店的年輕人生意為主。交通是其最大的優勢",3,2 年前
呃呃一個黑髮女店員態度是在差什麼？,1,2 週前
"6/11去消費
結帳小姐主動把發票收在收銀台旁邊的杯子裡面，不主動提供發票？
不知道是否不清楚稅務法規規範？？

還是需要國稅局來幫小姐上課呢？
你的自動自發收走發票只會害了公司",1,1 年前
9/28今天歌超無聊 只有DJ自己在開心,1,2 個月前
"位於信義威秀側面
整間氛圍很舒服！適合朋友聊天",5,1 年前
"人很多很熱鬧
歌都放大家會唱會跳的",2,7 個月前
"很適合與朋友聚會放鬆的地方😍
4號酒草莓口味的好喝👍
越晚人越多
那個氣氛真的很棒
還有DJ會放歌
客人超級無敵多
服務人員也是無時無刻都保持笑容
真的非常敬業
會常常來的🫡",5,1 年前
"個人覺得啤酒還好⋯
但歌真的好聽 氣氛很棒",3,9 個月前
咖啡好喝，推維也納咖啡，上面的鮮奶油加上咖啡很搭！ 下次去試試晚上的調酒,5,1 年前
"Love this place
好愛這裡 6點錢想喝咖啡6點後想吃披薩然後想喝Sober Ice Tea 😆 …",5,2 年前
"還不錯
不貴，大概信義區的合理價格",5,7 個月前
實在太多人了～不過調酒很好喝,5,7 個月前
"整體氣氛還ok
音樂也還行不過旋律重覆性偏多，希望有多點嘻哈節奏感的音樂
不過當天去後來加點pizza以為是要到外面啤酒部點餐，後來店員告知裡面也可以點，也會直接送到裡面坐位區，取餐器響了以後，我在裡面點調酒的櫃檯想拿餐，但店員告知要去外面拿，當下有點錯愕，跑去外面後外面店員說已通知裡面店員會直接送餐過去，因為當天有點飄雨，後來裡面店員有走出來要拿pizza給我，有個小插曲希望在點餐流程能更順暢！店員們態度也還ok",3,11 個月前
"Cafétéria by day, bar by night.
還不錯的地方，咖啡好喝，酒有點甜，但算順口獨特，缺點是位置不多～～",4,1 年前
"大冰美平價、份量也不少、順口
也適合拍照，店內裝潢低調卻不失格調",5,1 年前
"非常順口的調酒🔥👍🏾
大愛6號像辦桌的芭芒柳！ …",5,1 年前
"大愛住 信義必吃呀 酒也好喝
披薩好吃 薯條好吃😲👍",5,1 年前
"音樂好聽
但會一直被插隊",5,1 年前
"你可以體驗在路邊喝酒
這條馬路挺多跑車的",5,1 年前
平日人比較不多舒適,5,4 個月前
這個時間大家都還很正常哈哈,5,5 個月前
"推薦下午去，晚上會變酒吧
同一個地點有兩間店的感覺
很棒",5,1 年前
早上咖啡店晚上酒吧 氣氛很好 pizza真心覺得很好吃 超推😋 …,5,2 年前
好喜歡這家店的氛圍，不管是飲料或是服務態度，都是👍👍👍尤其是卷髮的帥哥👏👏👏服務態度真好！,5,6 個月前
"沒有服務的地方，大型KTV現場。
妹子很多，適合把妹。",5,5 個月前
"一個置身台北夜晚體會外國酒吧的地方
充滿歡樂與驚喜的地方",5,3 個月前
"每到週末人山人海，信義區目前最有共感的店家就是這了，跟著不認識的人喝酒唱歌，這才是跑趴的初衷呀。

店家的工作人員也辛苦了，週五週六的人潮你們還是可以維持良好的服務品質，感謝你們。",5,1 年前
氣氛很好，咖啡好喝。,5,2 年前
白天是咖啡廳晚上是酒吧！氣氛很讚,5,1 年前
"用輕鬆愉快的價格跟氣氛體驗台北夜生活的樂趣，有桌位跟煙灰缸已經太讚。
擁有一張椅子是緣分，沒有就站好喝。人多擁擠請大家還是要保持紳士與禮貌對待店員跟旁邊的人ㄡ！禮貌禮貌禮貌當個有禮貌的人！",5,11 個月前
酒等太久，喝起來也還好,3,3 個月前
"去了幾次都是晚上去，不管平日假日都蠻多人，但我比較喜歡假日DJ放的歌。
酒的話通常點5號，沒什麼酒味，蠻好喝；
朋友點了1號跟4號，1號個人覺得普普，但4號還不錯。
薯條的話吃起來有冷凍味，我不太喜歡，披薩的部分，蠻推薦酪梨披薩，重點是便宜、cp值高。",4,1 年前
店長很友善，沒有低消限制，看電影前後拿票根過來披薩九折！,5,2 年前
"氣氛佳，環境堪憂
但沒辦法這不是他們的問題 還是五顆星給上去",5,6 個月前
剝皮辣椒牛肉披薩很好吃 店員服務也很好 值得推薦！,5,2 年前
酒好喝，氣氛棒，有戶外座位可以坐,5,1 年前
早上是咖啡店晚上是喝酒的地方，有超大投影機轉播wirldcup ，放鬆心情的好地方。,5,2 年前
咖啡平價，Pizza便宜，啤酒跟調酒好喝不貴，裝潢很好看。,5,2 年前
員工服務態度需要加強…站櫃台一陣子想點餐，但一旁男員工一直在滑手機，完全沒注意到我想點餐，還要我叫他才有反應@@,1,11 個月前
價格實惠，披薩好吃份量一人還不少，室內外座位多，廁所和商場共用很乾淨,5,1 年前
"調酒便宜 $250-$300而已 好喝～～
半戶外的酒吧 音樂很讚 氣氛超級好
喜歡🈵️🈵️🈵️🈵️🈵️",5,10 個月前
"想找照片
發現都是這種奇奇怪怪的😂
每款酒都好好喝
雖然店內座位不好找
但室外的氛圍也很讚",5,1 年前
老闆很客氣，酒好喝，草莓口味的,5,5 個月前
"氣氛很好，播歌的時候現場的人會一起唱
酒不貴是預製酒，適合聊天認識新朋友",5,1 年前
麵包超好吃,5,3 個月前
晚上有人在路邊飆車，很危險。,5,5 個月前
酒便宜特別～喝了很多杯～,5,2 年前
調酒跟氛圍都非常好👍。唯一缺點就是裡面位子比較少夏天會很熱。 …,4,1 年前
喜歡氛圍與咖啡,5,2 個月前
"愛到不行的小酌之地！
調酒很好喝、披薩也超好吃（推薦朋友也說超級好吃）🍕！
平日還有飛機餅乾哈哈哈哈
有事沒事就可以去坐著喝酒聊天打發時間的好地方 …",5,2 年前
"粉紅色+藍色頭髮的女生送錯餐
我們跟他說我們沒有點
他一臉欠他錢直接離開
有送到隔壁桌
員工訓練需加強",1,1 年前
價格親民 音樂棒,4,1 年前
氣氛真的挺好的👍🏻 …,5,2 年前
酒好喝，披薩好吃，價格都很便宜，但人太多，然後在音響旁邊的座位真的快耳聾了,5,1 年前
"進去之後，根本不知道要如何點餐，帶位人員也沒說，直到我自己走到吧台，詢問說可以拿menu 嗎，吧台的人說「喔！可以啊！」

然後也一直在滑手機，還邊滑手機邊送餐？？？？？？？還看到在用Line，好像白天去會比較好",1,2 年前
咖啡ok但是外帶杯的密合很爛⋯,5,1 年前
三五好友坐在戶外高腳椅區聊天，店員一直在旁邊看，等到我們準備離開就馬上衝過來收拾，怎麼感覺好像有點壓力？,4,1 年前
"人也很多很熱鬧
不用買酒也可以進去",4,7 個月前
早上喝咖啡晚上嗨翻天的地方 呵勝！,5,1 年前
"無酒精也超好喝👍
價格實惠！CP值高
超網美超好拍 …",5,2 年前
"蠻放鬆的店 又有華語金曲的vibe
很適合週末找朋友一起嗨",5,2 年前
👍🏻 …,4,3 個月前
咖啡超好喝 環境很棒 超級喜歡的,5,1 年前
披薩好好吃，很適合跟朋友小酌聊天,5,1 年前
第一次現點薯條，吃到的像是隔夜薯條..,2,1 年前
很多金主爸爸😂晚上的時候,5,7 個月前
咖啡跟果茶都超難喝,1,9 個月前
很潮流的咖啡店，晚上啤酒吧也很新鮮,5,2 年前
氣氛超好love it,5,1 年前
喜歡這氣氛,5,1 年前
喜歡夜晚氣氛,5,1 年前
"態度有夠差
酒很貴
Fake percentage for sure",1,1 小時前
讚，店員好漂亮喔,5,2 天前
週末人潮多 沒有低消,4,4 天前
"這家店簡直就是燈火通明啊！如果你來台北的話，這是一定要來的。
好飲料和好食物！
披薩很美味，起司的量也很大。
與他們的雞尾酒搭配絕對會讓你驚嘆不已。
服務很好，工作人員會耐心地給你解釋。
唯一的問題是披薩的等待時間，我們花了一段時間。
音樂很好聽，喜歡那裡的氣氛！
很酷的地方，如果你是個外向的人，我想你會交到很多新朋友！大家都涼了",5,6 個月前
"在簡單的空間裡享受音樂和咖啡，真是幸福的時刻。
此外，同一連鎖店相鄰的麵包店出售的鹹松露酥脆蓬鬆，充滿口腔的風味和細膩的鹹味讓人上癮。我忘了拍照。
該系統是這樣的，您首先從商店後面的櫃檯取出麵包，然後付款。您可以在兩家商店使用信用卡付款。",5,1 個月前
喜歡這裡的氛圍，儘管這個地方很小而且很擁擠。檸檬蜂蜜茶雞尾酒真好吃！披薩也超好吃,4,2 週前
我萬聖節前一天去了那裡，那是一家很火紅的酒吧，我以為所有的台灣年輕人都在這裡，氣氛很棒，偶爾還會播放韓流，很有趣。,5,1 週前
咖啡味道一般。不在我最喜歡的名單上。室內是空地，一點也不涼。,2,1 個月前
台灣青少年聚集的地方，這個區域有很多青少年。飲料是雞尾酒式的，食物主要是披薩，美味又便宜。座位有點難找，想要來看看台灣妹子、小伙子、小伙子一定要來這一帶。既然來了，就一定要嚐嚐。,5,6 個月前
"酷炫的氛圍，時尚的汽車，時尚的熱點~

最重要的是，咖啡和麵包真的很好吃！",5,1 個月前
他們的咖啡很棒。價格實惠，一杯拿鐵只需 80 美元。友好的工作人員。一定會回來,5,2 個月前
"人們對這個地方真的很瘋狂。我根本不知道為什麼有這麼多人擠進這個酒吧。

當我到達時，人們都站在外面。我不能點飲料，也不能進去，所以我只能站在外面想知道這家酒吧發生了什麼事。

整體體驗，超級擁擠。我不能說我太喜歡它了。
如果人群還是一樣，我想我不會再來了。",3,8 個月前
"早上 9:00 之前來到這裡只是為了喝杯咖啡。附近終於有一家不錯的咖啡店了！
令人放鬆的環境，美式的裝飾，他們也出售一些自己設計的產品。從罩杯的設計上就可以看出它們對細節的注重。咖啡本身不錯，價格與附近其他的相比也可以接受。服務很友善。沒有參觀夜間版本，因為他們還提供啤酒。
我是一個咖啡愛好者，所以我很高興有 Fake Sober 作為鄰居！ :)",5,2 年前
台北 101 周圍休閒的好去處，白天喝咖啡茶，晚上則到露天酒吧。這個地區的咖啡價格出奇的友善。下次會嘗試雞尾酒。,4,9 個月前
"白天是咖啡館，晚上18:00以後內部空間開放，供應雞尾酒、啤酒、披薩等。
這是現在年輕人都會喜歡的賭博！令我驚訝的是，儘管Kapende位於信義，但咖啡和飲料並不貴，我記得美式咖啡的價格不到100元。
不過跟台灣的酒吧一樣，酒水很貴，不過晚上燈光變化，氣氛真的很好😽 他們還賣披薩片，很值得！
台北101~附近有很多俱樂部，所以我覺得如果你來這個地區的話，推薦一下！ …",5,1 年前
"在台北尋找值得在 Instagram 上拍照的地方嗎？這就是答案！

位於台北101附近，你可以在下午享用他們的咖啡☕️或在這裡度過一個晚上，享受他們的雞尾酒和啤酒🍻

價格很合理，我買了維也納咖啡才80元台幣。

更多台北咖啡館推薦可以看看我的ig：@michellevh_",5,11 個月前
"食物真的很棒！等待時間有點長，但地方還不錯。
由於它是一個受歡迎的地方，所以它會變得非常繁忙和熱鬧。",5,8 個月前
"一開始我們找到這個地方有點困難（谷歌地圖圖釘有點混亂），但我很高興我們找到了它，因為我們有一個很棒的經歷！

雖然我最想去咖啡館是因為氛圍和品牌看起來很酷（確實如此），但我的咖啡給我留下了深刻的印象！我點了一杯熱奶，牛奶的質地是我吃過的最好的牛奶之一——對於一杯不到 100 新台幣的牛奶來說，這真是太棒了。

我們大約在下午 5 點到達那裡，所以遺憾的是我們沒有體驗披薩和雞尾酒區，但我想我們下次可以再去那裡！",5,1 年前
"喝啤酒的那位女士太粗魯了，我甚至不想給她一顆星😖
不過介紹雞尾酒的女孩人很好很可愛🥰",3,8 個月前
"非常喜歡這個地方！
白天的咖啡館晚上的酒吧
DJ 在 2200 或 2230 左右播放
啤酒只需150台幣起
披薩看起來棒極了，下次去吃披薩！",5,1 年前
看了這家餐廳的評價，感覺非常好。當我真正來到這裡時，我的感覺就像大家說的那樣好。美味的啤酒，美味的食物，美味的雞尾酒，良好的氛圍。但座位不多。,4,1 年前
"有這麼多人。
即使是工作日也必須在外面等待。
外面有椅子，所以我可以坐在街上。
很難進去ㅜㅜ
播放韓國流行音樂。
看來很多青少年都來了。我認識了很多19歲的人。
年輕人話很多。
至於食物...唔…不要考慮吃東西，但如果你只是想去一個時髦的地方，順便去一下是個好主意。
酒也很貴。
這不僅僅是一個俱樂部，但如果您想交談和結識新朋友，那麼這裡將是一個好地方。
據說相見裡的摩俊傑也來了。
看不到ㅠ
其實我也不知道為什麼這個地方很時髦ㅎ̌̈ㅎ̌̈
一句話概括，台灣帥哥。",3,10 個月前
在台北喝一杯的好地方。那裡沒有披薩...作為一個意大利人，這不會讓我高興,5,3 週前
絕對適合年輕人群，尤其是那些外國人，在得知他們與拉夫斯夜總會有聯繫後，我應該預料到這一點。一點也不糟糕的經驗。他們後面有啤酒，後面有雞尾酒，更隱藏在牆後面。音樂很吵，但是調酒師很友善而且有效率。每杯飲料我記得是150台幣-300元台幣。夏威夷茶酸很好吃，但不像我想像的那麼酸。它有很好的菠蘿味。每天的無酒精雞尾酒非常美味。雖然我不確定裡面裝的是什麼，但這種飲料又甜又閃閃發光，完美地模仿了真正的雞尾酒。它也更便宜，我發現這是非常值得的。我發現的一個缺點是很難找到座位，可能是因為我們去的時候是週末。如果您想在信義區尋找快速飲品，整體來說是很好的體驗！,5,10 個月前
"推薦大家來這裡享受雞尾酒和啤酒💖💞酒吧的景色很適合白天和晚上坐著。

白天他們會賣咖啡，晚上他們會賣披薩和雞尾酒、啤酒
你應該嘗試04號雞尾酒和啤酒：番石榴果醬口味💞

有點擁擠所以要早點來搶個好座位🥹💞",5,1 年前
真正舒適的現代設計場所，舒適的色彩裝飾和藤蔓，您還可以更新您的流行歌曲播放清單🎶,5,1 年前
首先，當一首韓流歌曲出現時，你會感到懷舊嗎？儘管我是在工作日去的，但人很多，所以我不得不等待一會兒。,5,1 年前
這麼有趣的地方，飲料和食物真的很令人愉快，週末往往很擁擠，為在那裡工作的工作人員鼓掌，因為我可以說在那裡工作並不容易，尤其是有這麼多人群，他們還會有DJ，而且很不錯。,5,2 個月前
這個地方去年開業，我真的很喜歡它！我在信宜最喜歡和朋友聚會的地方之一。他們提供美味的披薩片、雞尾酒和啤酒。經理也很好。還有一位 DJ 會在晚上播放很酷的流行說唱 rnb 歌曲。但現在越來越擁擠，人們只是站在前門喝一杯，享受音樂和氣氛。,5,1 年前
"位於信義區中心地帶的真正美觀的酒吧！價格還不錯，飲料200-250不等，披薩120-160左右，對於信義來說還算不錯的價格。坐下來聊天的好地方，工作人員也非常友好和樂於助人。

披薩雖然是一片，但很大而且是預先切好的。我還得到了免費的餅乾！",5,2 年前
"雞尾酒真的很好吃！強烈推薦！
我星期五晚上九點左右去的，那裡有很多人……台灣人二十歲出頭？裡面都是同樣的人。
靜靜地站著，從店內到外面的街道上互相掃視和狩獵，這很有趣…
附近的一些夜間服務員告訴我帶他們去蜈蚣店，就像他們在預訂一樣，那裡一片狼藉；；
這些歌曲只是韓國流行音樂（也很古老）和台灣歌曲的混合，但我個人不喜歡它...
我會稍微解釋一下，但這不是我真正需要參觀的地方...
工作人員很友好而且很好。",3,6 個月前
雞尾酒和音樂都很棒，喜歡這個地方😍（我很想知道他們的 Spotify 清單）,5,2 個月前
"欣賞這裡的空間，白天喝咖啡，晚上喝啤酒和披薩。

週一早上來的，喜歡這種美感

這裡的飲料價格也很實惠👌🏻",5,2 年前
很酷的酒吧，有可上Instagram但價格昂貴的啤酒,4,4 個月前
"供應醜陋的半精釀啤酒
喜歡他們的 XPA
信義區又一個啤酒選擇！
隔壁有咖啡、披薩和生雞尾酒。",5,2 年前
白天在咖啡館，晚上在外面的酒吧。咖啡和酒的氛圍都非常好，只是周五和周六晚上會非常擁擠。就像真的很擁擠。相信我。,5,11 個月前
我避開週末去了，我喜歡它。,4,3 個月前
聚會的好地方。為每個人提供一切。生精釀啤酒、生雞尾酒、咖啡和披薩,5,1 年前
輕鬆的社交酒吧擁有時尚的裝飾，提供精釀啤酒和雞尾酒。提供披薩。,5,2 年前
對該地區的巨大補充。現場 DJ 表演以及價格合理的啤酒和雞尾酒。絕對是在俱樂部之前先喝一杯。,5,2 年前
"最近，我和我的台灣朋友一起去了 Fake Sober 台北，在去城裡的夜總會之前喝了一些酒前酒，我必須說，這是一次意想不到的愉快經歷。

Fake Sober 的價格相當實惠，特別是與我家鄉曼谷的派對場景相比。雞尾酒非常好，我很喜歡清爽的味道。最突出的是工作人員的英語能力；作為一個外國人，我感到真誠的歡迎，並感謝為使溝通順利而付出的努力。

儘管帶著零期望進入，認為這可能只是另一個放鬆的酒吧，但我對 Z 世代活躍的氛圍感到驚訝。人群年輕化，氣氛活躍。然而，唯一的缺點是人群本身——幾乎太擁擠了，幾乎沒有空間站立或放置物品。這個地方的受歡迎程度似乎證明了它的吸引力，但更多的空間會讓體驗更好。

演奏的音樂混合了西方嘻哈音樂，增添了整體氛圍。雖然這不是我聽過的絕對最好的播放列表，但它確實適合年輕而活潑的人群。對於那些想要在派對前吸收一些能量的人來說，Fake Sober台北是一個好地方，但要做好心理準備，高峰時段的空間有限。總的來說，這是在台北度過一個有趣的夜晚的好選擇。",3,10 個月前
"我星期六晚上去的，人很多。
不可能坐在裡面，而且點飲料的等待時間很長。
但飲料非常好，在那裡工作的人也很好。",5,6 個月前
一個很棒的低調酒吧，有很多高能量的舞蹈！室內和室外座位均價格優惠。 DJ 播放本地和英語混音。這裡的氣氛很棒...在街上跳舞...空調很好而且...該地區唯一的全家便利店就位於街對面！,5,1 年前
優質的服務。非常細心和友好。好喝的飲料。氣氛活躍。,5,3 個月前
聚會的氛圍很好。位於信義區中心，價格合理。,5,2 年前
台北最美味的披薩。,5,1 年前
很酷的酒吧，有一些非常好的飲料。這個地方唯一的缺點是喝一杯要花很長時間，而且人很多。不得不在外面街上喝飲料。我去的時候是星期六晚上，所以也許其他晚上不那麼忙。,4,11 個月前
獨特的雞尾酒、美妙的音樂、優質的服務和完美的氛圍。,5,8 個月前
如果你想看新一，晚上值得一去的酒吧。精釀啤酒？我不記得是雞尾酒還是雞尾酒了！披薩和酒是絕配。店裡放的歌都好聽！強楚！,5,1 年前
很酷的名字，但僅此而已。不幸的是，啤酒也沒有那麼特別。,3,1 年前
台北主流年輕人聚集於此。,5,2 個月前
"早上喝咖啡的好地方
晚上值得一去",4,1 個月前
星期六晚上喝醉了頭暈的公車,5,4 個月前
去年它的規模有所擴大。當然是週末聚會場景的中心。,5,1 個月前
為數不多的新戶外飲酒場所之一，氛圍很棒，工作人員非常友好，沒有最低收費，有點溫暖，但感覺就像巴黎街邊酒吧。會再次造訪。 Vibe檢查成功！,5,1 年前
非常適合人們觀看😅酷炫、年輕、時尚的台北氛圍。 …,5,10 個月前
瘋了....我是那種一個人到處走走，做各種事情的人，所以我想我應該喝杯雞尾酒~，所以我10點左右就離開了，但那裡並不擁擠，只是… ……外面有人，只是……那是個什麼樣的聚會？今天是星期六;;;;;;;我一個人去肉店是可以的，但是我一個人去不了這個。,5,1 年前
和一些朋友相處的很好,4,2 個月前
便宜好吃,5,4 週前
很舒適的地方，可以享受樂趣並喝點飲料。工作人員真的很酷很友好，音樂很棒🤩。價格非常合理。,5,1 年前
不錯的地方,5,1 個月前
"Love it!
Cp值很高",5,2 個月前
白天喝咖啡，晚上喝精釀啤酒！你還想要什麼？,5,1 年前
"最棒的披薩
IPA ✅

這個地方gmi👏🏻",5,2 年前
YouTuber 正在採訪人們在台北一個正常的周六晚上昏倒了😂,5,7 個月前
"喝咖啡放鬆的好地方
想回來吃披薩",5,2 年前
很棒,5,2 年前
牛奶很好喝,5,6 個月前
好酒吧,5,3 個月前
喝酒聊天的好地方☺️,5,2 個月前
Skittles 糖水味很重,2,5 個月前
可小酌 chill,5,3 個月前
美式咖啡很稀,3,5 個月前
很棒的飲料，很棒的氛圍，超級友好和樂於助人的員工。愛它,5,2 年前
西西里咖啡好好喝！,5,2 年前
獨特的果味啤酒、時尚的音樂和友善的員工。,5,1 年前
,4,2 年前
美味的披薩，美味的飲料，時尚的氛圍和音樂,5,1 年前
小酌可以,5,1 年前
西西里咖啡好喝 下次等晚上去bar & 吃pizza,5,2 年前
好玩,5,2 個月前
非常牛逼,5,1 個月前
好咖啡，價格合理。,5,8 個月前
,5,1 年前
棒,5,1 年前
氣氛很好，調酒師很棒而且很友好！,5,2 年前
現在真的清醒了！,5,1 年前
酷地方,5,10 個月前
Chill的地方,5,3 個月前
,4,1 年前
棒,5,5 個月前
很chill的地方,5,1 年前
寒意,5,1 年前
人super多,5,6 個月前
相當不錯的噴霧。,4,1 年前
塗料閒逛地點🔥,5,1 年前
,5,2 年前
台北很棒的披薩,5,2 年前
好年輕😆😆😆,5,4 個月前
西西里咖啡好喝,5,2 年前
咚,5,7 個月前
好玩,5,11 個月前
好玩的咖啡酒吧,5,10 個月前
很好玩,5,1 年前
好的,4,1 年前
,1,1 週前
,4,1 週前
,5,2 週前
,5,3 週前
,5,3 週前
,5,1 個月前
,5,1 個月前
,5,1 個月前
,1,1 個月前
,5,1 個月前
,5,1 個月前
,5,1 個月前
,3,2 個月前
,4,2 個月前
,5,2 個月前
,5,2 個月前
,5,2 個月前
,5,2 個月前
,3,2 個月前
,5,2 個月前
,4,3 個月前
,5,3 個月前
,5,3 個月前
,5,3 個月前
,5,3 個月前
,5,3 個月前
,5,3 個月前
,5,3 個月前
,5,3 個月前
,5,4 個月前
,4,4 個月前
,5,4 個月前
,5,4 個月前
,5,5 個月前
,5,5 個月前
,5,5 個月前
,5,5 個月前
,5,5 個月前
,5,5 個月前
,5,5 個月前
,5,5 個月前
,5,5 個月前
,5,5 個月前
,5,5 個月前
,5,5 個月前
,5,5 個月前
,5,5 個月前
,5,5 個月前
,5,5 個月前
,5,5 個月前
,4,6 個月前
,1,7 個月前
,2,7 個月前
,5,7 個月前
,5,7 個月前
,5,7 個月前
,5,9 個月前
,5,9 個月前
,5,9 個月前
,5,10 個月前
,5,11 個月前
,5,11 個月前
,5,11 個月前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,4,1 年前
,5,2 年前
,4,2 年前
,5,2 年前
,5,2 年前
